date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:43	29521/29521	---MCZ	200	added ('OK')	text/html	etag:W/%225e5695ba-7351%22	http://themepresss.com/tf/html/telusa/telusa/index.html	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/index.html	(from )
22:52:44	50/50	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Aug%202021%2016:52:46%20GMT	http://themepresss.com/robots.txt		(from )
22:52:44	16450/16450	---MCZ	200	added ('OK')	text/css	etag:W/%225e569593-4042%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/themify-icons.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/themify-icons.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:44	1446/1446	---MCZ	200	added ('OK')	text/css	etag:W/%225e56958d-5a6%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/flaticon.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/flaticon.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:45	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%225e56958d-1d970%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/bootstrap.min.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:46	4614/4614	---MCZ	200	added ('OK')	text/css	etag:W/%225e569590-1206%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/owl.carousel.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/owl.carousel.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:47	1055/1055	---MCZ	200	added ('OK')	text/css	etag:W/%225e569590-41f%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/owl.theme.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/owl.theme.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:47	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%225e569592-6c1%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/slick.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/slick.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:47	3158/3158	---MCZ	200	added ('OK')	text/css	etag:W/%225e569592-c56%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/slick-theme.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/slick-theme.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:47	3563/3563	---MCZ	200	added ('OK')	text/css	etag:W/%225e56958f-deb%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/odometer-theme-default.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/odometer-theme-default.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:48	4638/4638	---MCZ	200	added ('OK')	text/css	etag:W/%225e569590-121e%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/owl.transitions.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/owl.transitions.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:48	5327/5327	---MCZ	200	added ('OK')	text/css	etag:W/%225e56958f-14cf%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/jquery.fancybox.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/jquery.fancybox.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:48	76783/76783	---MCZ	200	added ('OK')	text/css	etag:W/%225e56958d-12bef%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/animate.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/animate.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:48	6950/6950	---MCZ	200	added ('OK')	text/css	etag:W/%225e56958f-1b26%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/magnific-popup.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:49	80796/80796	---MCZ	200	added ('OK')	text/css	etag:W/%225e569593-13b9c%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/style.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/style.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:49	11512/11512	---MCZ	200	added ('OK')	text/css	etag:W/%225e569592-2cf8%22	http://themepresss.com/tf/html/telusa/telusa/assets/css/responsive.css	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/css/responsive.css	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:49	3335/3335	---M--	200	added ('OK')	image/png	etag:%225e5695a6-d07%22	http://themepresss.com/tf/html/telusa/telusa/assets/images/logo/logo.png	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/images/logo/logo.png	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:49	18160/18160	---MCZ	200	added ('OK')	text/html	etag:W/%225e5695b9-46f0%22	http://themepresss.com/tf/html/telusa/telusa/blog-width-sidebar.html	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/blog-width-sidebar.html	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:51	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2009%20Aug%202021%2016:52:52%20GMT	http://themepresss.com/tf/html/telusa/telusa/assets/	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/index.html	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:52:57	39615/39615	---M--	200	added ('OK')	image/jpeg	etag:%225e56959c-9abf%22	http://themepresss.com/tf/html/telusa/telusa/assets/images/about/1.jpg	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/images/about/1.jpg	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:53:06	95267/95267	---M--	200	added ('OK')	image/jpeg	etag:%225e5695a4-17423%22	http://themepresss.com/tf/html/telusa/telusa/assets/images/gallery/img-1.jpg	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/images/gallery/img-1.jpg	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:53:08	102869/102869	---M--	200	added ('OK')	image/jpeg	etag:%225e5695a4-191d5%22	http://themepresss.com/tf/html/telusa/telusa/assets/images/gallery/img-2.jpg	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/images/gallery/img-2.jpg	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
22:53:10	80647/80647	---M--	200	added ('OK')	image/jpeg	etag:%225e5695a5-13b07%22	http://themepresss.com/tf/html/telusa/telusa/assets/images/gallery/img-3.jpg	C:/My%20Web%20Sites/Portfolio/themepresss.com/tf/html/telusa/telusa/assets/images/gallery/img-3.jpg	(from http://themepresss.com/tf/html/telusa/telusa/index.html)
